Qualification,Experience,Rating,Place,Profile,Miscellaneous_Info,Fees
"PhD - Orthodontics & Dentofacial Orthopaedics, BDS",8 years experience,100%,"Chintal, Hyderabad",Dentist,Presurgical Orthodontics Myofunctional Orthodontics 100%,200
"BDS, MDS - Prosthodontics",9 years experience,100%,"Chetpet, Chennai",Dentist,Acrylic Partial Denture Crowns and Bridges Fixing Artificial Teeth,200
"MBBS, MD - Dermatology , Venereology & Leprosy",7 years experience,94%,"Hitech City, Hyderabad",Dermatologists,"94% 4 Feedback Hitech City, Hyderabad",500
"BAMS, MD - Ayurveda Medicine",8 years experience,,"Vijayanagar, Bangalore",Ayurveda,,200
"BDS, MDS - Conservative Dentistry & Endodontics",10 years experience,97%,"Ambattur, Chennai",Dentist,Impaction / Impacted Tooth Extraction Artificial Teeth Crowns and Bridges Fixing,100
"MD - Dermatology , Venereology & Leprosy",4 years experience,,"Urapakkam, Chennai",Dermatologists,,200
BDS,2 years experience,,"Kodambakkam, Chennai",Dentist,Dental Crowns Zirconia Crowns Ceramic Veneers / Crowns,300
"MBBS, MD - Dermatology , Venereology & Leprosy, Fellowship In Dermatosurgery, Fellowship in LASERs & Aesthetics",9 years experience,100%,"Jhilmil Colony, Delhi",Dermatologists,"100% 5 Feedback Jhilmil Colony, Delhi",350
"FCPS - Dermatology, Venereology & Leprosy, DVD, DDV, MBBS",17 years experience,99%,"Goregaon East, Mumbai",Dermatologists,Skin Tag Treatment Skin Rejuvenation Skin Peeling,600
BHMS,11 years experience,,"Borivali East, Mumbai",Homeopath,,750
"MBBS, MD - Dermatology",34 years experience,98%,"Andheri West, Mumbai",Dermatologists,"98% 17 Feedback Andheri West, Mumbai",100
"MBBS, MD - General Medicine",19 years experience,95%,"Madhapur, Hyderabad",General Medicine,"95% 17 Feedback Madhapur, Hyderabad",600
BDS,13 years experience,100%,"Coimbatore Ukkadam, Coimbatore",Dentist,"100% 11 Feedback Coimbatore Ukkadam, Coimbatore",150
"MBBS, MD - General Medicine",21 years experience,97%,"HSR Layout, Bangalore",General Medicine,"97% 28 Feedback HSR Layout, Bangalore",500
"MBBS, Diploma in Orthopaedics",35 years experience,,"Banashankari 1st Stage, Bangalore",General Medicine,,200
"MBBS, MS - ENT",9 years experience,,"Mira Road, Mumbai",ENT Specialist,,400
MBBS,36 years experience,,"Borivali West, Mumbai",General Medicine,,100
"BDS, MDS - Paedodontics And Preventive Dentistry",5 years experience,100%,"Ramamurthy Nagar, Bangalore",Dentist,Dental Checkup (General) Scaling / Polishing Dental Restoration,300
MBBS,24 years experience,,"Malkajgiri, Hyderabad",General Medicine,,200
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",30 years experience,62%,"Patparganj, Delhi",ENT Specialist,Audiometry Test Phono Surgery Functional Endoscopic Sinus Surgery - FESS,100
"BDS, Diploma in Laser Dentistry",26 years experience,99%,"Manikonda, Hyderabad",Dentist,Laminates Laser Gum Surgery RCT - Root Canal Treatment,200
BDS,2 years experience,,"Sreekaryam, Thiruvananthapuram",Dentist,,150
"MD - Dermatology , Venereology & Leprosy, MBBS",10 years experience,100%,"Uppal, Hyderabad",Dermatologists,Microdermabrasion Wrinkle Treatment Botox Injections,200
MBBS,49 years experience,,"Santacruz East, Mumbai",General Medicine,,100
MD - Physician,6 years experience,,"Dilsukhnagar, Hyderabad",General Medicine,,300
"MD - Dermatology , Venereology & Leprosy",34 years experience,,"Ernakulam North, Ernakulam",Dermatologists,,400
MBBS,8 years experience,,"Old Bowenpally, Hyderabad",General Medicine,,100
"MBBS, MD - General Medicine",43 years experience,86%,"Chembur East, Mumbai",General Medicine,"86% 5 Feedback Chembur East, Mumbai",500
"MD - Physician, MS - General Surgery",14 years experience,92%,"Sultanpur, Delhi",General Medicine,"92% 32 Feedback Sultanpur, Delhi",500
"MBBS, MS - General Surgery, DNB - General Surgery, MS - Paediatrics Surgery, DNB - Pediatric Surgery",32 years experience,90%,"Jayanagar, Bangalore",General Medicine,"90% 5 Feedback Jayanagar, Bangalore",600
"BHMS, One Year Certificate course in Hospital Management , Certified Course in Yoga",12 years experience,,"Kamla Nagar, Delhi",Homeopath,Acne / Pimples Treatment Allergy Treatment Allergic Rhinitis,450
"DNB - Dermatology & Venereology, MBBS",10 years experience,,"Borivali West, Mumbai",Dermatologists,Skin Care Bacterial Skin Infection Treatment skin checks,500
MD - Physician,13 years experience,94%,"Somajiguda, Hyderabad",General Medicine,,500
"MBBS, MS - ENT",0 years experience,,"Dwarka, Delhi",ENT Specialist,,400
MBBS,47 years experience,,"Madhapur, Hyderabad",General Medicine,,200
"BDS, MDS - Oral & Maxillofacial Surgery, FICOI, DICOI",15 years experience,98%,"HSR Layout, Bangalore",Dentist,Oral & Maxillofacial Surgery Dental Implant Fixing Basal implants( Immediate teeth),400
BHMS,15 years experience,,"IP Extension, Delhi",Homeopath,,150
BDS,5 years experience,,"Banerji Road, Ernakulam",Dentist,,150
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",41 years experience,92%,"Moosarambagh, Hyderabad",ENT Specialist,"92% 13 Feedback Moosarambagh, Hyderabad",400
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",11 years experience,97%,"Paschim Vihar, Delhi",Dentist,Dental Implant Fixing RCT - Root Canal Treatment Dental Braces Fixing,500
"MBBS, MD - Dermatology",14 years experience,96%,"Balkampet, Hyderabad",Dermatologists,"96% 3 Feedback Balkampet, Hyderabad",300
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",14 years experience,,"Koramangala 5 Block, Bangalore",General Medicine,"2 Feedback Koramangala 5 Block, Bangalore ₹500",500
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology",24 years experience,,"Anna Nagar, Chennai",ENT Specialist,,200
BAMS,34 years experience,97%,"Prabhadevi, Mumbai",Ayurveda,,100
Diploma in Dermatology,18 years experience,97%,"Ghatkopar East, Mumbai",Dermatologists,"97% 76 Feedback Ghatkopar East, Mumbai",700
BAMS,9 years experience,,"HSR Layout, Bangalore",Ayurveda,,200
"BDS, MDS-Oral Pathology and Oral Microbiology",2 years experience,,"Safdarjung Enclave, Delhi",Dentist,"Safdarjung Enclave, Delhi ₹250 Visits Today",250
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",28 years experience,100%,"Velachery, Chennai",General Medicine,"100% 18 Feedback Velachery, Chennai",300
BAMS,23 years experience,,"Mira Road, Mumbai",Ayurveda,,100
"MBBS, DDVL",8 years experience,,"Vanasthalipuram, Hyderabad",Dermatologists,,300
BAMS,10 years experience,96%,"Kammana Halli, Bangalore",Ayurveda,"96% 8 Feedback Kammana Halli, Bangalore",150
BDS,20 years experience,98%,"Vyttila, Ernakulam",Dentist,"98% 14 Feedback Vyttila, Ernakulam",100
"BDS, MDS - Oral Medicine and Radiology",11 years experience,100%,"Munnekollal, Bangalore",Dentist,Artificial Teeth Conservative Dentistry Complete/Partial Dentures Fixing,100
BAMS,9 years experience,,"Vikas Puri, Delhi",Ayurveda,,100
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB, Fellowship in Head & Neck Oncology Surgery",18 years experience,96%,"Rajajinagar, Bangalore",ENT Specialist,"96% 8 Feedback Rajajinagar, Bangalore",250
BDS,12 years experience,,"Singanallur, Coimbatore",Dentist,,100
"BAMS, MD - Ayurveda Medicine",17 years experience,,"Karkhana, Hyderabad",Ayurveda,,200
"MBBS, MD - Medicine",14 years experience,,"Borivali West, Mumbai",General Medicine,,300
BHMS,27 years experience,96%,"Malleswaram, Bangalore",Homeopath,"96% 35 Feedback Malleswaram, Bangalore",500
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",5 years experience,,"Jubilee Hills, Hyderabad",Dentist,Orthodontic Treatment,350
"BDS, MDS - Paedodontics And Preventive Dentistry",9 years experience,97%,"Borivali West, Mumbai",Dentist,Impaction / Impacted Tooth Extraction Artificial Teeth Cosmetic/ Aesthetic Dentistry,500
"MBBS, MS - Otorhinolaryngology",27 years experience,,"Paschim Vihar, Delhi",ENT Specialist,,700
"MBBS, MD - General Medicine",19 years experience,82%,"Kalyan Nagar, Bangalore",General Medicine,Diabetes Management treatment for general infections Cardiac management,400
"BAMS, MBA - Hospital Management",11 years experience,,"Kalyan Nagar, Bangalore",Ayurveda,Skin Allergy Treatment Skin Allergies Kidney Stone Treatment,300
"BDS, MDS - Periodontology and Oral Implantology",11 years experience,98%,"Safdarjung Enclave, Delhi",Dentist,Dental Implant Fixing Crowns and Bridges Fixing Fixed Partial DentureFixed Partial Denture,500
BDS,8 years experience,100%,"Pitampura, Delhi",Dentist,"100% 23 Feedback Pitampura, Delhi",200
"MBBS, MD - General Medicine",15 years experience,,"Alwal, Hyderabad",General Medicine,,200
BDS,16 years experience,99%,"Ghatkopar East, Mumbai",Dentist,Crowns and Bridges Fixing Artificial Teeth Impaction / Impacted Tooth Extraction,200
"BDS, Certificate in Dental Implants, Certificate Endodontics & Pedodontics, Fellowship and Diplomate in Implantology from ICOI (USA)",14 years experience,99%,"Matunga, Mumbai",Dentist,Cosmetic/ Aesthetic Dentistry Smile Design Acrylic Partial Denture,100
BDS,11 years experience,,"Kavundampalayam, Coimbatore",Dentist,,100
"BAMS, MS - Ayurveda",19 years experience,,"Malad West, Mumbai",Ayurveda,"Anorectal Surgery Piles Treatment (Non Surgical) Malad West, Mumbai",500
BDS,3 years experience,,"R.S. Puram, Coimbatore",Dentist,,300
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",19 years experience,,"Kanchanbagh, Hyderabad",ENT Specialist,,300
"BAMS, MSc - Psychology",12 years experience,,"Whitefield, Bangalore",Ayurveda,,350
BAMS,20 years experience,,"Mahalaxmi, Mumbai",Ayurveda,,100
MDS - Prosthodontics,22 years experience,,"Greater Kailash Part 1, Delhi",Dentist,"Greater Kailash Part 1, Delhi ₹500 Visits Today",500
G.A.M.S,45 years experience,82%,"Patel Nagar, Delhi",Ayurveda,Ayurvedic Sexologist Doctor for Female Ayurvedic Doctor Unani Sexologist Doctor for Male,100
"MBBS, DNB - Otorhinolaryngology",38 years experience,,"Kilokri, Delhi",ENT Specialist,,500
"BDS, MDS - Prosthodontics",11 years experience,95%,"Vanasthalipuram, Hyderabad",Dentist,Prosthetic Care and Rehabilitation Acrylic Partial Denture Artificial Teeth,100
"MD - Physician, DNB - General Medicine",11 years experience,93%,"Sarita Vihar, Delhi",General Medicine,"93% 9 Feedback Sarita Vihar, Delhi",300
BDS,6 years experience,100%,"Hoodi, Bangalore",Dentist,Impaction / Impacted Tooth Extraction Complete/Partial Dentures Fixing Crowns and Bridges Fixing,100
BHMS,9 years experience,,"Indiranagar, Bangalore",Homeopath,,350
"MBBS, DNB - ENT",25 years experience,57%,"Kalyan Nagar, Bangalore",ENT Specialist,,500
BDS,6 years experience,100%,"Saibaba Colony, Coimbatore",Dentist,Crowns and Bridges Fixing Complete/Partial Dentures Fixing Artificial Teeth,150
BAMS,20 years experience,,"New Seemapuri, Delhi",Ayurveda,,50
"BHMS, CGO",12 years experience,,"Arekere, Bangalore",Homeopath,,250
BHMS,26 years experience,,"Seshadripuram, Bangalore",Homeopath,,200
BAMS,6 years experience,,"Electronics City, Bangalore",Ayurveda,,200
"BDS, MDS - Prosthodontics",10 years experience,,"Ganapathy, Coimbatore",Dentist,,150
"MBBS, MS - Ophthalmology",13 years experience,93%,"Nagawara, Bangalore",General Medicine,LASIK Eye Surgery Phacoemulsification Surgery Glaucoma Evaluation / Treatment,350
BHMS,8 years experience,,"Krishna Nagar, Delhi",Homeopath,,250
BDS,16 years experience,97%,"Ganapathy, Coimbatore",Dentist,"97% 10 Feedback Ganapathy, Coimbatore",100
"MBBS, MD - Dermatology, Post Graduate Diploma in Clinical Research (PGDCR), DDV",15 years experience,94%,"Chembur, Mumbai",Dermatologists,"94% 11 Feedback Chembur, Mumbai",700
MBBS,33 years experience,100%,"Mira-Bhayandar Road, Mumbai",General Medicine,"100% 4 Feedback Mira-Bhayandar Road, Mumbai",900
"MBBS, MD - Medicine",40 years experience,,"Vijaynagar, Delhi",General Medicine,,500
BAMS,4 years experience,,"Worli, Mumbai",Ayurveda,,10
"BDS, Fellowship in Implantology, Fellowship in Implant and Esthetic Dentistry, AOC in Aesthetic Dentistry, PGDE (Cosmetic & Esthetic Dentist)",21 years experience,99%,"Mulund West, Mumbai",Dentist,Cosmetic/ Aesthetic Dentistry Dental Implant Fixing Sedation Dentistry,200
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics, Certificate in Invisible Braces, Invisalign Training Course",8 years experience,98%,"Kadugodi, Bangalore",Dentist,Crowns and Bridges Fixing Dentofacial Orthopedics Dental Braces Fixing,100
"MBBS, DDV",20 years experience,86%,"Rajajinagar, Bangalore",Dermatologists,"86% 8 Feedback Rajajinagar, Bangalore",200
BDS,10 years experience,100%,"Madhapur, Hyderabad",Dentist,Tooth Extraction Wisdom Tooth Extraction Bleeding Gums Treatment,200
"MBBS, MD - Internal Medicine",21 years experience,97%,"Dwarka, Delhi",General Medicine,Infectious Disease Treatment Specialty Diagnostics in Tuberculosis HIV Counselling,700
"MBBS, Diploma in Otorhinolaryngology (DLO)",8 years experience,,"Mayur Vihar Ph-III, Delhi",ENT Specialist,,500
"MBBS, DLO, DNB - ENT",20 years experience,100%,"Vadapalani, Chennai",ENT Specialist,Hearing Deficiency Assessment Tonsillitis Treatment Nasal Septum Surgery,500
"BHMS, Post Graduate Diploma in Clinical Nutrition & Dietetics, Diploma in Naturopathy & Yogic Science (DNYS), Masters Diploma in Acupressure",2 years experience,,"HSR Layout, Bangalore",Homeopath,,300
"MBBS, MD - Skin,VD & Leprosy",11 years experience,99%,"Whitefield, Bangalore",Dermatologists,"99% 560 Feedback Whitefield, Bangalore",500
"BDS, MDS - Periodontics",19 years experience,95%,"Dilsukhnagar, Hyderabad",Dentist,Cast Partial Denture Conservative Dentistry Crowns and Bridges Fixing,200
"MBBS, DDVL",9 years experience,97%,"Bowenpally, Hyderabad",Dermatologists,"97% 188 Feedback Bowenpally, Hyderabad",300
"MBBS, MD - Internal Medicine",33 years experience,96%,"Pusa Road, Delhi",General Medicine,"96% 9 Feedback Pusa Road, Delhi",100
BDS,7 years experience,,"Ondipudur, Coimbatore",Dentist,,100
"BDS, MDS- Oral Pathology",9 years experience,,"Pattom, Thiruvananthapuram",Dentist,,100
"MBBS, Fellowship in Breast Surgery, MS - General Surgery",12 years experience,,"Mahim, Mumbai",General Medicine,breast lumpectomy RADICAL MASTECTOMY PORT Insertion,100
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",42 years experience,,"Old City, Hyderabad",ENT Specialist,,300
BAMS,10 years experience,100%,"Electronics City, Bangalore",Ayurveda,"100% 2 Feedback Electronics City, Bangalore",200
"MBBS, MD - Dermatology",13 years experience,89%,"Triplicane, Chennai",Dermatologists,"89% 4 Feedback Triplicane, Chennai",200
"MBBS, DNB - General Medicine, Fellowship in Non-Invasive Cardiology (FIC), Fellowship in Diabetology",13 years experience,,"Richmond Town, Bangalore",General Medicine,Non-Invasive Cardiology Diabetes Management Health Checkup (General),550
"MBBS, MD - General Medicine",10 years experience,,"Bhandup West, Mumbai",General Medicine,,700
"BDS, MDS - Oral & Maxillofacial Surgery, DICOI",23 years experience,91%,"Adyar, Chennai",Dentist,Oral & Maxillofacial Surgery Restoration Aesthetics Dental Examinations,500
"MBBS, DDV, DNB",15 years experience,95%,"Mathikere - BEL, Bangalore",Dermatologists,"95% 94 Feedback Mathikere - BEL, Bangalore",500
"BHMS, MBA",12 years experience,96%,"Bannerghatta Road, Bangalore",Homeopath,"96% 19 Feedback Bannerghatta Road, Bangalore",300
BHMS,9 years experience,,"Medavakkam, Chennai",Homeopath,,150
"MBBS, MS - ENT",29 years experience,,"New Rajendra Nagar, Delhi",ENT Specialist,,600
BHMS,32 years experience,,"Jahangirpuri, Delhi",Homeopath,,200
BDS,17 years experience,94%,"Kurla West, Mumbai",Dentist,Dental Implant Fixing Smile Design BPS Dentures Fixing,200
BDS,7 years experience,100%,"Kammana Halli, Bangalore",Dentist,Dental Fillings RCT - Single Sitting Dental Sleep Medicine (Snoring and Sleep Apnea Management),300
"MBBS, MS - ENT, MRCS (UK)",17 years experience,94%,"Bannerghatta Road, Bangalore",ENT Specialist,Reconstructive Middle Ear Surgery Rhinoplasty Functional Endoscopic Sinus Surgery - FESS,700
"MBBS, Diploma in Otorhinolaryngology (DLO), MAMS",45 years experience,,"Greams Road, Chennai",ENT Specialist,,100
BDS,12 years experience,99%,"Ramanathapuram, Coimbatore",Dentist,"99% 26 Feedback Ramanathapuram, Coimbatore",100
"MBBS, MD - Internal Medicine",33 years experience,,"Richmond Town, Bangalore",General Medicine,,300
"MS - ENT, MBBS, FCPS - Mid. & Gynae, Diploma in Otorhinolaryngology (DLO)",14 years experience,,"Andheri West, Mumbai",ENT Specialist,,700
"MD - Skin,VD & Leprosy, MBBS, DNB - Dermatology & Venereology",17 years experience,98%,"Anand Vihar, Delhi",Dermatologists,"98% 29 Feedback Anand Vihar, Delhi",600
"MBBS, MS - ENT",19 years experience,,"Secunderabad, Hyderabad",ENT Specialist,,300
BDS,11 years experience,95%,"Miyapur, Hyderabad",Dentist,Crowns and Bridges Fixing Artificial Teeth BPS Dentures Fixing,100
"MBBS, DDVL",14 years experience,100%,"HRBR Layout, Bangalore",Dermatologists,Laser Resurfacing Scar Treatment Wart Removal,500
BHMS,18 years experience,94%,"Vijayanagar, Bangalore",Homeopath,"94% 21 Feedback Vijayanagar, Bangalore",500
BHMS,10 years experience,98%,"Dilsukhnagar, Hyderabad",Dermatologists,Skin Disease Treatment Arthritis Management Hair Loss Treatment,400
BHMS,14 years experience,,"Vivek Vihar, Delhi",Homeopath,,200
"MS - ENT, MBBS",19 years experience,,"Santacruz East, Mumbai",ENT Specialist,,600
"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",8 years experience,98%,"Janak Puri, Delhi",Dermatologists,"98% 19 Feedback Janak Puri, Delhi",500
"BDS, MDS - Periodontology and Oral Implantology, Post-Graduate Certificate in Oral Implantology (PGCOI)",15 years experience,99%,"Pitampura, Delhi",Dentist,Dental Implant Fixing Cosmetic/ Aesthetic Dentistry Cosmetic Filling,400
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",9 years experience,95%,"Kukatpally, Hyderabad",Dentist,Smile Design Retention implant dentures Laser Depigmentation,200
"BDS, MDS - Prosthodontics",29 years experience,98%,"Greater Kailash Part 2, Delhi",Dentist,"98% 42 Feedback Greater Kailash Part 2, Delhi",500
BAMS,11 years experience,,"Malleshpalya, Bangalore",Ayurveda,,150
"BAMS, MD - Ayurveda Medicine",19 years experience,,"Malleswaram, Bangalore",Ayurveda,,350
"MDS - Oral Medicine and Radiology, BDS, PhD - Orthodontics & Dentofacial Orthopaedics",14 years experience,,"Besant Nagar, Chennai",Dentist,Orthodontic Treatment Invisible Orthodontics Presurgical Orthodontics,200
"BDS, MDS - Orthodontics",7 years experience,,"Khar West, Mumbai",Dentist,Orthodontic Treatment Dental prophylaxis Dental Examinations,300
BAMS,27 years experience,,"Ghatkopar East, Mumbai",Ayurveda,,100
BAMS,6 years experience,,"Thiruvallom, Thiruvananthapuram",Ayurveda,,100
"MD - Homeopathy, BHMS",26 years experience,,"Kandivali West, Mumbai",Homeopath,Skin Disease Treatment Gall Bladder (Biliary) Stone Treatment Diet Counseling,100
"MBBS, MD - Dermatology",8 years experience,92%,"Chattarpur, Delhi",Dermatologists,"92% 3 Feedback Chattarpur, Delhi",400
BDS,3 years experience,,"Pezhakkappilly, Ernakulam",Dentist,,100
"MBBS, Diploma in Dermatology, DDVL",4 years experience,,"Basavanagudi, Bangalore",Dermatologists,,250
"BDS, MDS - Orthodontics",12 years experience,96%,"KR Puram, Bangalore",Dentist,Presurgical Orthodontics Dental Fillings Crowns and Bridges Fixing,300
"MBBS, MD - Dermatology , Venereology & Leprosy",3 years experience,100%,"Ashok Nagar, Chennai",Dermatologists,"100% 6 Feedback Ashok Nagar, Chennai",300
"MS - Otorhinolaryngology, MBBS",6 years experience,,"Kukatpally, Hyderabad",ENT Specialist,,300
"MBBS, MS - ENT, DNB - ENT",14 years experience,95%,"Seshadripuram, Bangalore",ENT Specialist,"95% 4 Feedback Seshadripuram, Bangalore",550
BHMS,14 years experience,,"Chikkadpally, Hyderabad",Homeopath,,600
"MBBS, MS - Otorhinolaryngology",10 years experience,,"Lingampally, Hyderabad",ENT Specialist,,650
BHMS,2 years experience,,"Jamia Nagar, Delhi",Homeopath,,100
MD - Ayurveda Medicine,0 years experience,,"Begum Bazar, Hyderabad",Ayurveda,,200
"BAMS, MD - Ayurveda Medicine",22 years experience,,"Andheri East, Mumbai",Ayurveda,,400
"MBBS, MS - ENT",33 years experience,,"Indiranagar, Bangalore",ENT Specialist,,500
BHMS,28 years experience,100%,"Dadar West, Mumbai",Homeopath,Skin Disease Treatment Diet Counseling Cancer Treatment,800
"MBBS, DDV",21 years experience,94%,"Vileparle East, Mumbai",Dermatologists,"94% 47 Feedback Vileparle East, Mumbai",100
"MBBS, DDVL",9 years experience,,"Electronics City, Bangalore",Dermatologists,,400
MBBS,40 years experience,,"Kaggadasapura, Bangalore",General Medicine,,300
"MBBS, MD - Dermatology , Venereology & Leprosy",25 years experience,99%,"Laxmi Nagar, Delhi",Dermatologists,"99% 28 Feedback Laxmi Nagar, Delhi",700
MBBS,16 years experience,,"Sarjapur Road, Bangalore",General Medicine,,400
"MBBS, MD - Dermatology",34 years experience,97%,"Pusa Road, Delhi",Dermatologists,Dermabrasion Acne / Pimples Treatment Laser Resurfacing,100
"BDS, MDS - Prosthodontics",12 years experience,100%,"Bandra West, Mumbai",Dentist,Dental Braces Fixing Crowns and Bridges Fixing Impaction / Impacted Tooth Extraction,500
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",5 years experience,100%,"Lower Parel, Mumbai",General Medicine,"100% 39 Feedback Lower Parel, Mumbai",500
MBBS,36 years experience,,"ECR Road, Chennai",General Medicine,,100
"MBBS, MD - Dermatology",39 years experience,77%,"Vasant Kunj, Delhi",Dermatologists,"77% 7 Feedback Vasant Kunj, Delhi",800
"MBBS, MD - Medicine",11 years experience,,"Nangloi, Delhi",General Medicine,,300
BDS,12 years experience,97%,"Chintalmet, Hyderabad",Dentist,Smile Design Crowns and Bridges Fixing Acrylic Partial Denture,100
"BAMS, Certificate in Child Health (CCH), CGO, CVD, CSD",10 years experience,,"Bhandup East, Mumbai",Ayurveda,,70
"MBBS, DDVL",10 years experience,96%,"West Of Chord Road, Bangalore",Dermatologists,"96% 20 Feedback West Of Chord Road, Bangalore",300
"BHMS, Diploma in Clinical Nutrition, DHMS (Diploma in Homeopathic Medicine and Surgery), Diploma in Acupuncture",17 years experience,96%,"SV Road, Mumbai",Homeopath,"96% 1 Feedback SV Road, Mumbai",100
BAMS,6 years experience,,"Tilak Nagar, Delhi",Ayurveda,,300
"MBBS, MD - Skin & VD",19 years experience,93%,"Vileparle West, Mumbai",Dermatologists,"93% 2 Feedback Vileparle West, Mumbai",800
BDS,3 years experience,,"JP Nagar 5 Phase, Bangalore",Dentist,Dental Checkup (General) RCT - Root Canal Treatment Bleeding Gums Treatment,100
"Diploma in Otorhinolaryngology (DLO), MBBS",32 years experience,93%,"HSR Layout, Bangalore",ENT Specialist,"93% 147 Feedback HSR Layout, Bangalore",600
"PhD - Orthodontics & Dentofacial Orthopaedics, BDS",11 years experience,100%,"Matunga, Mumbai",Dentist,Invisible/Clear Braces Space Maintainers Myofunctional Orthodontics,300
"BAMS, MS - Ayurvedic General Surgery, Ayurvedic panchkarma",7 years experience,,"Lingampally, Hyderabad",Ayurveda,,300
MS - ENT,16 years experience,,"Chanda Nagar, Hyderabad",ENT Specialist,"1 Feedback Chanda Nagar, Hyderabad ₹500",500
"BAMS, MD - Yoga and Rehab",27 years experience,99%,"Kothanur, Bangalore",Ayurveda,Panchakarma Psoriasis Treatment Dysmenorrhea Treatment,300
"MBBS, DDV",21 years experience,95%,"Juhu, Mumbai",Dermatologists,"95% 64 Feedback Juhu, Mumbai",100
"BHMS, MD - General Medicine",9 years experience,,"Saibaba Colony, Coimbatore",General Medicine,,200
"BDS, MDS - Prosthodontics",31 years experience,98%,"Vasant Vihar, Delhi",Dentist,Acrylic Partial Denture BPS Dentures Fixing Crowns and Bridges Fixing,500
BHMS,8 years experience,,"Bellandur, Bangalore",Homeopath,,400
"BAMS, Diploma in Emergency Medicine, Diploma in Counselling Skills",25 years experience,99%,"Sanjay Nagar, Bangalore",Ayurveda,"99% 35 Feedback Sanjay Nagar, Bangalore",350
"MD - Medicine, MBBS",18 years experience,,"Yamuna Vihar, Delhi",General Medicine,,300
BDS,27 years experience,97%,"Kolathur, Chennai",Dentist,"97% 36 Feedback Kolathur, Chennai",200
"MBBS, MD - General Medicine",5 years experience,,"Attapur, Hyderabad",General Medicine,Hypertension Treatment diabetes Thyroid disorders,300
BAMS,7 years experience,,"Borivali West, Mumbai",Ayurveda,,299
MDS - Conservative Dentistry & Endodontics,25 years experience,,"Panampilly Nagar, Ernakulam",Dentist,,200
"MBBS, MS - ENT",16 years experience,83%,"Sahakaranagar, Bangalore",ENT Specialist,"83% 1 Feedback Sahakaranagar, Bangalore",400
"BHMS, Masters in Counselling and Psychotherapy, Nutrition Certification",11 years experience,95%,"Powai, Mumbai",Homeopath,Skin Care Cold Cough Treatment,600
"MBBS, MD - Dermatology",16 years experience,93%,"Shalimar Bagh, Delhi",Dermatologists,Trichology Botox Injections Dental Fillings,100
"MBBS, MD - General Medicine, DNB - General Medicine, MRCP (UK), Certification in Infectious Diseases, FRCP, Diploma in Tropical Medicine Health",17 years experience,,"Nungambakkam, Chennai",General Medicine,Infectious Disease Treatment Vaccination/ Immunization Fever Treatment,800
"MBBS, MS - Otorhinolaryngology, Fellowship in Skull Base Surgery",5 years experience,,"Malakpet, Hyderabad",ENT Specialist,,500
MD - Physician,21 years experience,,"Adarsh Nagar, Delhi",General Medicine,,300
"BAMS, Diploma in Health Administration",14 years experience,,"Andheri West, Mumbai",Ayurveda,,500
"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",29 years experience,96%,"Saket, Delhi",Dermatologists,Dermatosurgery Acne / Pimples Treatment Scar Treatment,100
BAMS,4 years experience,,"Dharavi, Mumbai",Ayurveda,,200
"MBBS, DDV, MD - Dermatology",17 years experience,77%,"Bannerghatta Road, Bangalore",Dermatologists,Acne / Pimples Treatment Scar Treatment Wart Removal,750
"MBBS, MD - General Medicine, DNB - General Medicine",13 years experience,,"Mulund, Mumbai",General Medicine,,600
"MBBS, MD - General Medicine, DNB - Dermatology & Venereology",13 years experience,,"Greams Road, Chennai",Dermatologists,,100
"BAMS, MD - Ayurveda Medicine",11 years experience,100%,"Abbigere, Bangalore",Ayurveda,"100% 3 Feedback Abbigere, Bangalore",100
BAMS,13 years experience,,"Ghatkopar East, Mumbai",Ayurveda,,100
BDS,4 years experience,,"HSR Layout, Bangalore",Dentist,"HSR Layout, Bangalore Free Consultation Available Today",100
"BDS, Fellow of Academy of General Education (FAGE)",22 years experience,98%,"Munirka, Delhi",Dentist,Tooth Extraction Acrylic Partial Denture BPS Dentures Fixing,300
MBBS,40 years experience,,"Manacaud, Thiruvananthapuram",General Medicine,,100
"MBBS, MD - Dermatology",32 years experience,77%,"Patparganj, Delhi",Dermatologists,Acne / Pimples Treatment Leucoderma Treatment Anti Aging Treatment,100
BAMS,11 years experience,100%,"Bannerghatta Road, Bangalore",Ayurveda,"100% 8 Feedback Bannerghatta Road, Bangalore",150
