,Qualification,Experience,Rating,Place,Profile,Fees
1350,MBBS,19,0,Hyderabad,Unknown,300
1351,BDS,11,95,Hyderabad,Unknown,100
1352,"MBBS,DDVL,DDV",14,100,Bangalore,Unknown,500
1353,BHMS,18,94,Bangalore,Unknown,500
1354,BHMS,10,98,Hyderabad,Unknown,400
1355,BHMS,14,0,Delhi,Unknown,200
1356,MBBS,19,0,Mumbai,Unknown,600
1357,"MD,MBBS,DNB",8,98,Delhi,Unknown,500
1358,"MD,BDS,MDS",15,99,Delhi,Dentist,400
1359,"MD,BDS,MDS",9,95,Hyderabad,Unknown,200
1360,"MD,BDS,MDS",29,98,Delhi,Unknown,500
1361,BAMS,11,0,Bangalore,Unknown,150
1362,"MD,BAMS",19,0,Bangalore,Unknown,350
1363,"MD,BDS,MDS,PhD",14,0,Chennai,Unknown,200
1364,"MD,BDS,MDS",7,0,Mumbai,Unknown,300
1365,BAMS,27,0,Mumbai,Unknown,100
1366,BAMS,6,0,Thiruvananthapuram,Unknown,100
1367,"MD,BHMS",26,0,Mumbai,Unknown,100
1368,"MD,MBBS",8,92,Delhi,Unknown,400
1369,BDS,3,0,Ernakulam,Unknown,100
1370,"MBBS,DDVL,DDV,Diploma in Dermatology",4,0,Bangalore,Unknown,250
1371,"MD,BDS,MDS",12,96,Bangalore,Unknown,300
1372,"MD,MBBS",3,100,Chennai,Unknown,300
1373,MBBS,6,0,Hyderabad,Unknown,300
1374,"MBBS,DNB",14,95,Bangalore,Unknown,550
1375,BHMS,14,0,Hyderabad,Unknown,600
1376,MBBS,10,0,Hyderabad,Unknown,650
1377,BHMS,2,0,Delhi,Unknown,100
1378,MD,0,0,Hyderabad,Unknown,200
1379,"MD,BAMS",22,0,Mumbai,Unknown,400
1380,MBBS,33,0,Bangalore,Unknown,500
1381,BHMS,28,100,Mumbai,Unknown,800
1382,"MBBS,DDV",21,94,Mumbai,Unknown,100
1383,"MBBS,DDVL,DDV",9,0,Bangalore,Unknown,400
1384,MBBS,40,0,Bangalore,Unknown,300
1385,"MD,MBBS",25,99,Delhi,Unknown,700
1386,MBBS,16,0,Bangalore,Unknown,400
1387,"MD,MBBS",34,97,Delhi,Unknown,100
1388,"MD,BDS,MDS",12,100,Mumbai,Unknown,500
1389,MBBS,5,100,Mumbai,Unknown,500
1390,MBBS,36,0,Chennai,Unknown,100
1391,"MD,MBBS",39,77,Delhi,Unknown,800
1392,"MD,MBBS",11,0,Delhi,Unknown,300
1393,BDS,12,97,Hyderabad,Unknown,100
1394,BAMS,10,0,Mumbai,Unknown,70
1395,"MBBS,DDVL,DDV",10,96,Bangalore,Unknown,300
1396,BHMS,17,96,Mumbai,Unknown,100
1397,BAMS,6,0,Delhi,Unknown,300
1398,"MD,MBBS",19,93,Mumbai,Unknown,800
1399,BDS,3,0,Bangalore,Unknown,100
1400,"MBBS,DLO",32,93,Bangalore,Unknown,600
1401,"BDS,PhD",11,100,Mumbai,Unknown,300
1402,BAMS,7,0,Hyderabad,Unknown,300
1403,MS,16,0,Hyderabad,Unknown,500
1404,"MD,BAMS",27,99,Bangalore,Unknown,300
1405,"MBBS,DDV",21,95,Mumbai,Unknown,100
1406,"MD,BHMS",9,0,Coimbatore,Unknown,200
1407,"MD,BDS,MDS",31,98,Delhi,Unknown,500
1408,BHMS,8,0,Bangalore,Unknown,400
1409,BAMS,25,99,Bangalore,Unknown,350
1410,"MD,MBBS",18,0,Delhi,Unknown,300
1411,BDS,27,97,Chennai,Unknown,200
1412,"MD,MBBS",5,0,Hyderabad,Unknown,300
1413,BAMS,7,0,Mumbai,Unknown,299
1414,"MD,MDS",25,0,Ernakulam,Unknown,200
1415,MBBS,16,83,Bangalore,Unknown,400
1416,BHMS,11,95,Mumbai,Unknown,600
1417,"MD,MBBS",16,93,Delhi,Unknown,100
1418,"MD,MBBS,DNB",17,0,Chennai,Unknown,800
1419,MBBS,5,0,Hyderabad,Unknown,500
1420,MD,21,0,Delhi,Unknown,300
1421,BAMS,14,0,Mumbai,Unknown,500
1422,"MD,MBBS,DNB",29,96,Delhi,Unknown,100
1423,BAMS,4,0,Mumbai,Unknown,200
1424,"MD,MBBS,DDV",17,77,Bangalore,Unknown,750
1425,"MD,MBBS,DNB",13,0,Mumbai,Unknown,600
1426,"MD,MBBS,DNB",13,0,Chennai,Unknown,100
1427,"MD,BAMS",11,100,Bangalore,Unknown,100
1428,BAMS,13,0,Mumbai,Unknown,100
1429,BDS,4,0,Bangalore,Unknown,100
1430,BDS,22,98,Delhi,Unknown,300
1431,MBBS,40,0,Thiruvananthapuram,Unknown,100
1432,"MD,MBBS",32,77,Delhi,Unknown,100
1433,BAMS,11,100,Bangalore,Unknown,150
1434,"MD,BDS,MDS",10,0,Hyderabad,Unknown,300
1435,"MD,BDS,MDS",12,88,Bangalore,Unknown,200
1436,"MD,MBBS",16,79,Hyderabad,Unknown,600
1437,MBBS,5,100,Chennai,Unknown,200
1438,"MD,BDS,MDS",28,96,Bangalore,Unknown,500
1439,BHMS,14,0,Delhi,Unknown,400
1440,BHMS,6,0,Delhi,Unknown,300
1441,MBBS,26,0,Delhi,Unknown,300
1442,BDS,11,98,Chennai,Unknown,100
1443,MBBS,30,60,Bangalore,Unknown,300
1444,"MD,MBBS",9,97,Bangalore,Unknown,550
1445,"MD,MBBS",18,0,Hyderabad,Unknown,200
1446,"MD,MBBS",11,100,Bangalore,Unknown,500
1447,"MD,MBBS",8,0,Hyderabad,Unknown,350
1448,BAMS,9,0,Delhi,Unknown,500
1449,"MD,BDS,MDS",19,96,Chennai,Unknown,500
1450,MBBS,18,0,Bangalore,Unknown,70
1451,MBBS,10,0,Bangalore,Unknown,150
1452,BHMS,18,0,Hyderabad,Unknown,150
1453,BAMS,36,0,Mumbai,Unknown,200
1454,BHMS,12,100,Bangalore,Unknown,250
1455,MBBS,43,0,Mumbai,Unknown,350
1456,MBBS,15,0,Mumbai,Unknown,300
1457,"MD,MBBS",12,98,Chennai,Unknown,250
1458,"MD,BDS,MDS",6,0,Hyderabad,Unknown,200
1459,BAMS,25,0,Mumbai,Unknown,70
1460,MBBS,48,0,Delhi,Unknown,100
1461,BDS,5,100,Hyderabad,Unknown,200
1462,"MBBS,DDV",23,91,Chennai,Unknown,400
1463,"MD,BAMS",42,0,Hyderabad,Unknown,100
1464,"MBBS,DLO",39,0,Chennai,Unknown,100
1465,"MD,BHMS",14,100,Hyderabad,Unknown,550
1466,BHMS,14,0,Chennai,Unknown,200
1467,MBBS,35,0,Chennai,Unknown,150
1468,"MD,MBBS,DNB",26,0,Chennai,Unknown,400
1469,BDS,0,0,Coimbatore,Unknown,100
1470,"MD,BHMS",11,0,Mumbai,Unknown,100
1471,BAMS,11,0,Chennai,Unknown,100
1472,BHMS,12,0,Chennai,Unknown,150
1473,"MD,BDS,MDS",14,98,Bangalore,Dentist,200
1474,"MBBS,DNB",34,74,Hyderabad,Unknown,300
1475,"MBBS,DLO",38,0,Chennai,Unknown,300
1476,"MD,MBBS,DNB",17,97,Bangalore,Unknown,500
1477,MBBS,18,90,Bangalore,Unknown,350
1478,"MD,MBBS,DDV,DNB",16,99,Mumbai,Unknown,600
1479,"MBBS,DDVL,DDV",10,0,Bangalore,Unknown,500
1480,BDS,12,99,Coimbatore,Unknown,100
1481,BAMS,15,0,Chennai,Unknown,200
1482,"MD,MBBS",5,100,Delhi,Unknown,250
1483,"MD,BAMS",7,0,Hyderabad,Unknown,300
1484,MBBS,15,0,Mumbai,Unknown,50
1485,"MBBS,DLO",32,0,Delhi,Unknown,500
1486,BDS,3,0,Bangalore,Unknown,100
1487,BHMS,4,0,Bangalore,Unknown,200
1488,MBBS,28,0,Delhi,Unknown,400
1489,"MD,MBBS",40,89,Mumbai,Unknown,100
1490,DNB,19,0,Mumbai,Unknown,500
1491,"MD,BDS,MDS",17,97,Delhi,Unknown,400
1492,BDS,3,0,Mumbai,Unknown,100
1493,BAMS,19,96,Bangalore,Unknown,400
1494,"MD,MBBS",9,95,Hyderabad,Unknown,500
1495,BDS,6,0,Mumbai,Unknown,100
1496,BDS,12,0,Coimbatore,Unknown,100
1497,BAMS,7,0,Delhi,Unknown,250
1498,BAMS,18,0,Mumbai,Unknown,100
1499,"MD,MBBS",13,0,Bangalore,Unknown,500
1500,"MD,MBBS",30,0,Hyderabad,Unknown,200
1501,"MD,MBBS",8,100,Bangalore,Unknown,500
1502,"MBBS,DDVL,DDV",16,93,Chennai,Unknown,300
1503,MD,44,0,Mumbai,Unknown,100
1504,MBBS,17,0,Hyderabad,Unknown,100
1505,"MD,MBBS",13,0,Delhi,Unknown,500
1506,BHMS,9,94,Hyderabad,Unknown,200
1507,"MD,MBBS",21,97,Hyderabad,Unknown,300
1508,BAMS,21,0,Hyderabad,Unknown,200
1509,"MBBS,DLO",10,0,Bangalore,Unknown,500
1510,BDS,44,100,Hyderabad,Unknown,200
1511,"MD,BAMS",8,0,Ernakulam,Unknown,100
1512,"MBBS,DDV",12,100,Mumbai,Unknown,700
1513,MBBS,14,98,Delhi,Unknown,700
1514,MBBS,12,98,Bangalore,Unknown,400
1515,"MD,MBBS",10,0,Bangalore,Unknown,300
1516,"MD,MBBS",11,0,Delhi,Unknown,700
1517,"MD,MBBS",10,99,Hyderabad,Unknown,300
1518,"MD,MBBS",12,96,Hyderabad,Unknown,300
1519,BAMS,24,0,Hyderabad,Unknown,200
1520,BHMS,11,0,Delhi,Unknown,200
1521,BAMS,11,0,Bangalore,Unknown,300
1522,"MD,BAMS",23,0,Hyderabad,Unknown,400
1523,BHMS,17,0,Delhi,Unknown,100
1524,MBBS,40,0,Mumbai,Unknown,200
1525,BDS,11,0,Chennai,Unknown,100
1526,"MD,BDS,MDS",24,98,Bangalore,Unknown,200
1527,"MBBS,DLO",16,0,Bangalore,Unknown,100
1528,"MD,MBBS",12,98,Hyderabad,Unknown,400
1529,BHMS,8,100,Delhi,Unknown,350
1530,"MD,BAMS",10,100,Chennai,Unknown,500
1531,MBBS,16,100,Delhi,Unknown,500
1532,BAMS,19,0,Mumbai,Unknown,200
1533,"MD,MBBS,DNB",16,98,Bangalore,Unknown,400
1534,"MBBS,DLO",32,0,Chennai,Unknown,350
1535,"MBBS,DNB",31,0,Mumbai,Unknown,800
1536,"MD,BDS,MDS",10,100,Bangalore,Unknown,200
1537,BHMS,18,0,Chennai,Unknown,200
1538,BAMS,21,93,Bangalore,Unknown,150
1539,BDS,12,98,Hyderabad,Dentist,200
1540,"MD,BDS,MDS",8,0,Delhi,Unknown,300
1541,"MD,MBBS",10,100,Hyderabad,Unknown,200
1542,BHMS,22,0,Mumbai,Unknown,500
1543,MBBS,27,0,Delhi,Unknown,550
1544,BHMS,14,100,Mumbai,Unknown,500
1545,"MD,MBBS",7,97,Hyderabad,Unknown,500
1546,"MBBS,PhD",23,91,Bangalore,Unknown,500
1547,"MD,BAMS",23,0,Hyderabad,Unknown,100
1548,"MD,BDS,MDS",12,100,Chennai,Unknown,100
1549,"MD,BDS,MDS",5,0,Delhi,Unknown,250
1550,"MD,MBBS",12,96,Chennai,Unknown,300
1551,"MD,MBBS",3,0,Delhi,Unknown,100
1552,MBBS,0,0,Bangalore,Unknown,350
1553,"MD,MBBS",10,0,Chennai,Unknown,500
1554,BHMS,8,0,Bangalore,Unknown,450
1555,"MBBS,DNB",21,0,Bangalore,Unknown,500
1556,"MBBS,DDV",13,0,Delhi,Unknown,400
1557,MBBS,43,0,Delhi,Unknown,100
1558,"MD,BDS,MDS",42,0,Mumbai,Unknown,200
1559,MD,0,0,Ernakulam,Unknown,500
1560,"MBBS,Diploma in Dermatology",21,100,Chennai,Unknown,300
1561,"MD,MBBS",10,98,Delhi,Unknown,500
1562,"MD,BDS,MDS",9,0,Mumbai,Unknown,800
1563,LCEH,44,94,Mumbai,Unknown,100
1564,"MBBS,Diploma in Dermatology",36,0,Hyderabad,Unknown,100
1565,"MBBS,DNB",17,100,Delhi,Unknown,500
1566,"MD,BAMS",7,0,Hyderabad,Unknown,500
1567,"MD,MBBS",10,95,Mumbai,Unknown,100
1568,"MD,MBBS",44,0,Delhi,Unknown,500
1569,BHMS,10,0,Hyderabad,Unknown,200
1570,MD,32,0,Chennai,Unknown,100
1571,BAMS,36,0,Mumbai,Unknown,100
1572,"MD,BDS,MDS",18,95,Hyderabad,Unknown,300
1573,"MD,MBBS",10,97,Bangalore,Unknown,450
1574,"MD,BDS,MDS",9,0,Delhi,Dentist,500
1575,"MD,BDS,MDS",12,96,Bangalore,Unknown,100
1576,"MBBS,DLO",12,0,Ernakulam,Unknown,200
1577,BAMS,45,0,Mumbai,Unknown,50
1578,"MD,BHMS",18,98,Hyderabad,Unknown,400
1579,"MD,BAMS",31,0,Hyderabad,Unknown,100
1580,"MD,BDS,MDS",12,100,Hyderabad,Dentist,100
1581,MBBS,42,0,Chennai,Unknown,200
1582,"MD,MBBS,DNB",8,0,Bangalore,Unknown,500
1583,"MD,MBBS",37,0,Mumbai,Unknown,100
1584,"MD,BDS,MDS",10,0,Delhi,Unknown,500
1585,"MD,MBBS",27,93,Bangalore,Unknown,350
1586,"MBBS,DNB",15,0,Delhi,Unknown,100
1587,MBBS,39,0,Mumbai,Unknown,100
1588,"MD,BAMS",20,0,Chennai,Unknown,500
1589,"MD,MBBS",33,0,Delhi,Unknown,100
1590,BHMS,6,0,Bangalore,Unknown,450
1591,"MD,MBBS,DDVL,DDV",14,79,Bangalore,Unknown,300
1592,BHMS,10,99,Mumbai,Unknown,500
1593,"MBBS,DDV",14,69,Mumbai,Unknown,500
1594,"MD,BDS,MDS",9,99,Chennai,Dentist,300
1595,BHMS,18,0,Mumbai,Unknown,400
1596,"MD,BDS,MDS",11,100,Delhi,Unknown,500
1597,BDS,21,0,Delhi,Unknown,500
1598,"MD,MBBS,DDV,DNB",21,96,Mumbai,Unknown,700
1599,"MD,MBBS",31,0,Hyderabad,Unknown,500
1600,"MD,MBBS",28,0,Mumbai,Unknown,100
1601,BDS,27,97,Hyderabad,Dentist,200
1602,BHMS,11,0,Bangalore,Unknown,200
1603,MS,18,0,Delhi,Unknown,500
1604,MBBS,0,0,Coimbatore,Unknown,150
1605,BHMS,14,0,Bangalore,Unknown,400
1606,BDS,7,0,Mumbai,Unknown,200
1607,MBBS,31,0,Coimbatore,Unknown,250
1608,BAMS,13,0,Mumbai,Unknown,100
1609,BHMS,27,0,Hyderabad,Unknown,300
1610,"MBBS,DDVL,DDV",4,0,Ernakulam,Unknown,250
1611,"MBBS,DNB",14,96,Delhi,Unknown,800
1612,MD,13,90,Mumbai,Unknown,500
1613,"MD,MBBS",12,72,Bangalore,Unknown,300
1614,BHMS,9,0,Ernakulam,Unknown,100
1615,BDS,5,0,Coimbatore,Unknown,100
1616,BAMS,16,0,Mumbai,Unknown,50
1617,BHMS,10,0,Chennai,Unknown,150
1618,MBBS,11,0,Delhi,Unknown,200
1619,"MBBS,DNB",4,0,Delhi,Unknown,100
1620,"MBBS,DDV",24,100,Delhi,Unknown,100
1621,BAMS,19,98,Bangalore,Unknown,500
1622,BDS,11,0,Coimbatore,Unknown,100
1623,BAMS,16,0,Delhi,Unknown,200
1624,BDS,16,0,Chennai,Dentist,250
1625,"MD,BAMS",33,0,Bangalore,Unknown,350
1626,"MD,BDS,MDS",17,99,Bangalore,Unknown,300
1627,BAMS,28,0,Chennai,Unknown,250
1628,"MBBS,M.D.",19,98,Bangalore,Unknown,100
1629,BAMS,15,0,Mumbai,Unknown,100
1630,"MD,MBBS",6,0,Mumbai,Unknown,900
1631,BAMS,5,0,Chennai,Ayurveda,300
1632,"MD,BDS,MDS",14,0,Coimbatore,Unknown,100
1633,MBBS,26,0,Bangalore,Unknown,100
1634,"MBBS,DDVL,DDV",12,79,Delhi,Unknown,500
1635,BDS,11,100,Bangalore,Unknown,300
1636,BAMS,11,0,Bangalore,Unknown,500
1637,"MD,MBBS",6,0,Hyderabad,Unknown,500
1638,"MBBS,DDV",19,0,Bangalore,Unknown,250
1639,"MBBS,DLO",19,0,Bangalore,Unknown,100
1640,BAMS,13,0,Delhi,Unknown,150
1641,BAMS,6,0,Mumbai,Unknown,300
1642,MBBS,36,100,Bangalore,Unknown,200
1643,MBBS,14,0,Delhi,Unknown,700
1644,"MD,MBBS",16,100,Bangalore,Unknown,200
1645,"MD,MBBS",5,0,Delhi,Unknown,700
1646,MBBS,36,98,Chennai,Unknown,200
1647,"MBBS,DLO",17,76,Mumbai,Unknown,100
1648,BAMS,18,0,Hyderabad,Unknown,50
1649,"MD,BDS,MDS",4,0,Ernakulam,Unknown,100
1650,BDS,9,100,Delhi,Unknown,100
1651,"MBBS,DNB",11,95,Mumbai,Unknown,700
1652,"MD,BDS,MDS",13,0,Chennai,Unknown,500
1653,"MBBS,DDVL,DDV",14,100,Chennai,Unknown,250
1654,"MBBS,DLO",18,0,Bangalore,Unknown,200
1655,"MBBS,DNB",16,0,Chennai,Unknown,600
1656,"MD,MBBS",14,0,Mumbai,Unknown,800
1657,BHMS,25,0,Mumbai,Unknown,700
1658,"MD,MDS",0,0,Chennai,Unknown,150
1659,BDS,10,100,Mumbai,Unknown,300
1660,MBBS,15,90,Delhi,Unknown,600
1661,BAMS,33,100,Hyderabad,Unknown,500
1662,"MD,MBBS",19,0,Bangalore,Unknown,300
1663,"MD,BDS,MDS",17,0,Coimbatore,Unknown,150
1664,BDS,16,100,Bangalore,Unknown,200
1665,"MD,BDS,MDS",21,0,Hyderabad,Unknown,300
1666,BDS,14,99,Delhi,Unknown,200
1667,BAMS,13,97,Delhi,Unknown,100
1668,"MD,MBBS",20,100,Hyderabad,Unknown,550
1669,MBBS,33,0,Mumbai,Unknown,800
1670,"MBBS,DLO",37,0,Mumbai,Unknown,100
1671,BHMS,7,100,Delhi,Unknown,300
1672,BHMS,10,100,Bangalore,Unknown,300
1673,"MD,MBBS,DNB",19,95,Mumbai,Unknown,100
1674,"MD,BDS,MDS",6,100,Bangalore,Unknown,100
1675,"MD,BDS,MDS",21,98,Bangalore,Unknown,100
1676,"MD,MBBS,Diploma in Dermatology",25,0,Chennai,Unknown,200
1677,"MBBS,DLO",29,0,Chennai,Unknown,400
1678,BHMS,5,100,Bangalore,Unknown,100
1679,"MD,BDS,MDS",11,100,Chennai,Unknown,200
1680,MBBS,37,0,Chennai,Unknown,100
1681,"MD,BDS,MDS",13,100,Mumbai,Unknown,100
1682,MD,9,0,Mumbai,Unknown,100
1683,MBBS,18,0,Bangalore,Unknown,300
1684,BHMS,17,100,Chennai,Unknown,200
1685,BAMS,7,0,Ernakulam,Unknown,300
1686,MBBS,42,0,Delhi,Unknown,300
1687,BAMS,43,0,Mumbai,Unknown,100
1688,BHMS,27,0,Mumbai,Unknown,350
1689,"MD,MBBS",20,0,Chennai,Unknown,600
1690,MBBS,33,0,Delhi,Unknown,100
1691,"MD,BDS,MDS",8,100,Delhi,Unknown,500
1692,"MD,BDS,MDS",11,0,Hyderabad,Unknown,300
1693,MD,3,0,Chennai,Unknown,200
1694,"MD,BAMS",31,91,Mumbai,Unknown,100
1695,MBBS,4,0,Mumbai,Unknown,300
1696,"MD,BDS,MDS",10,82,Coimbatore,Dentist,300
1697,MBBS,35,0,Hyderabad,Unknown,500
1698,MBBS,7,91,Hyderabad,Unknown,300
1699,"MD,BDS,MDS",20,97,Ernakulam,Unknown,200
1700,MD,26,0,Mumbai,Unknown,100
1701,MBBS,39,92,Hyderabad,Unknown,300
1702,MBBS,25,81,Mumbai,Unknown,300
1703,"MD,MBBS",16,100,Hyderabad,Unknown,300
1704,"MBBS,DNB",28,0,Delhi,Unknown,400
1705,"BDS,PhD",23,99,Chennai,Unknown,100
1706,"MD,BDS,MDS",11,100,Mumbai,Unknown,300
1707,DNB,4,0,Mumbai,Unknown,800
1708,BDS,19,97,Delhi,Unknown,300
1709,BAMS,3,0,Thiruvananthapuram,Unknown,200
1710,MS,30,0,Delhi,Unknown,250
1711,"MD,BHMS",12,0,Chennai,Unknown,300
1712,"MD,MBBS",7,100,Mumbai,Unknown,700
1713,BHMS,8,0,Mumbai,Unknown,70
1714,MS,3,0,Chennai,Unknown,300
1715,BAMS,9,0,Delhi,Unknown,200
1716,MBBS,21,60,Delhi,Unknown,500
1717,MBBS,41,0,Mumbai,Unknown,200
1718,"MD,BDS,MDS",17,100,Hyderabad,Unknown,200
1719,BAMS,21,0,Thiruvananthapuram,Unknown,100
1720,BDS,9,95,Chennai,Unknown,200
1721,BHMS,29,0,Delhi,Unknown,500
1722,"MD,MDS",13,99,Coimbatore,Unknown,100
1723,"DNB,Diploma in Dermatology",9,96,Delhi,Unknown,700
1724,BHMS,11,0,Mumbai,Unknown,50
1725,BDS,8,98,Mumbai,Dentist,300
1726,BHMS,0,0,Hyderabad,Unknown,500
1727,"MD,DDVL,DDV,DNB",7,97,Mumbai,Unknown,100
1728,"MD,BDS,MDS",16,0,Hyderabad,Unknown,100
1729,"MD,MBBS",5,93,Hyderabad,Unknown,500
1730,BHMS,20,0,Delhi,Unknown,300
1731,MBBS,25,100,Delhi,Unknown,400
1732,"MD,BDS,MDS",9,99,Ernakulam,Unknown,250
1733,"MD,MBBS",39,0,Mumbai,Unknown,100
1734,BDS,23,100,Bangalore,Dentist,400
1735,"MD,BDS,MDS",17,100,Chennai,Unknown,100
1736,MBBS,39,93,Delhi,Unknown,300
1737,"MD,BHMS",12,0,Mumbai,Unknown,100
1738,BAMS,11,0,Chennai,Unknown,300
1739,BDS,11,96,Mumbai,Dentist,500
1740,MBBS,13,77,Hyderabad,Unknown,300
1741,BAMS,43,0,Mumbai,Unknown,100
1742,"MD,MBBS",0,79,Bangalore,Unknown,400
1743,BDS,20,91,Bangalore,Dentist,200
1744,"MD,MBBS",16,0,Bangalore,Unknown,250
1745,"MD,MBBS",18,94,Hyderabad,Unknown,400
1746,MBBS,14,67,Bangalore,Unknown,650
1747,MBBS,31,0,Hyderabad,Unknown,200
1748,"MBBS,DLO",32,0,Chennai,Unknown,400
1749,MBBS,12,100,Bangalore,Unknown,300
1750,"MD,MBBS",24,0,Chennai,Unknown,100
1751,BDS,10,98,Mumbai,Dentist,300
1752,"MD,MBBS",15,0,Chennai,Unknown,200
1753,"MD,MBBS",19,0,Delhi,Unknown,100
1754,"MD,MBBS",15,96,Bangalore,Unknown,500
1755,MBBS,40,0,Coimbatore,Unknown,150
1756,"MD,BAMS",9,0,Hyderabad,Unknown,200
1757,"MD,BDS,MDS",7,0,Chennai,Unknown,500
1758,MBBS,44,87,Chennai,Unknown,300
1759,BAMS,9,0,Mumbai,Unknown,100
1760,"MD,BDS,MDS",24,99,Chennai,Unknown,200
1761,BHMS,3,100,Delhi,Unknown,300
1762,MBBS,30,0,Chennai,Unknown,500
1763,"MD,BDS,MDS",9,100,Delhi,Unknown,300
1764,"MD,MBBS",2,0,Chennai,Unknown,500
1765,BAMS,24,96,Delhi,Unknown,750
1766,"MBBS,DDV",3,0,Mumbai,Unknown,500
1767,"MD,MBBS,DNB",18,91,Delhi,Unknown,700
1768,BAMS,12,0,Mumbai,Unknown,200
1769,"MD,MBBS",9,96,Bangalore,Unknown,400
1770,BHMS,10,0,Delhi,Unknown,130
1771,"MD,BDS,MDS",32,100,Chennai,Unknown,400
1772,BAMS,2,100,Bangalore,Unknown,500
1773,"MD,BHMS",8,0,Delhi,Unknown,250
1774,MBBS,26,0,Chennai,Unknown,200
1775,"MD,MBBS",2,0,Ernakulam,Unknown,500
1776,BAMS,19,88,Delhi,Unknown,500
1777,"MBBS,DDV",50,57,Bangalore,Unknown,100
1778,BAMS,34,0,Mumbai,Unknown,100
1779,"MBBS,DNB",28,95,Bangalore,Unknown,650
1780,"MBBS,DNB",36,0,Chennai,Unknown,500
1781,"MD,MBBS",27,0,Chennai,Unknown,500
1782,BDS,11,99,Bangalore,Dentist,300
1783,"MBBS,DDV",18,0,Delhi,Unknown,300
1784,MBBS,22,0,Delhi,Unknown,300
1785,"MBBS,M.D.",17,0,Chennai,Unknown,500
1786,"MD,BDS,MDS",7,100,Mumbai,Dentist,200
1787,BDS,4,0,Ernakulam,Dentist,200
1788,"MD,BAMS",35,0,Bangalore,Unknown,100
1789,BHMS,19,100,Mumbai,Unknown,100
1790,BAMS,12,0,Hyderabad,Unknown,600
1791,"MD,MDS",18,0,Coimbatore,Unknown,150
1792,"MD,MBBS",17,84,Hyderabad,Unknown,200
1793,"MBBS,Diploma in Dermatology",26,0,Hyderabad,Unknown,500
1794,"MD,BAMS",34,0,Bangalore,Unknown,200
1795,"MBBS,DNB,DLO",38,72,Hyderabad,Unknown,700
1796,"MD,BDS,MDS",9,100,Delhi,Unknown,300
1797,BDS,14,0,Coimbatore,Unknown,150
1798,"MD,MBBS,BAMS",42,0,Thiruvananthapuram,Unknown,100
1799,BDS,13,98,Delhi,Unknown,300
1800,"MD,MBBS",30,0,Mumbai,Unknown,400
1801,"MD,MBBS,DNB",28,85,Mumbai,Unknown,800
1802,BHMS,14,0,Bangalore,Unknown,100
1803,BDS,11,99,Chennai,Dentist,200
1804,"MD,Diploma in Dermatology",17,0,Mumbai,Unknown,100
1805,"MD,MBBS",22,0,Hyderabad,Unknown,200
1806,"MD,BDS,MDS",15,92,Hyderabad,Unknown,250
1807,BAMS,33,96,Bangalore,Unknown,500
1808,"MD,MBBS",33,0,Mumbai,Unknown,400
1809,MBBS,9,0,Bangalore,Unknown,200
1810,BDS,18,100,Bangalore,Unknown,200
1811,MBBS,18,0,Chennai,Unknown,200
1812,"MBBS,DDV",37,95,Bangalore,Unknown,400
1813,BHMS,20,99,Delhi,Unknown,500
1814,MBBS,24,0,Bangalore,Unknown,230
1815,BHMS,10,0,Mumbai,Unknown,100
1816,MBBS,15,99,Bangalore,Unknown,500
1817,BHMS,12,0,Chennai,Unknown,150
1818,"MD,MBBS",19,99,Hyderabad,Unknown,400
1819,"MBBS,DNB,DLO",13,98,Hyderabad,Unknown,500
1820,BDS,21,90,Mumbai,Dentist,400
1821,BHMS,5,100,Delhi,Unknown,300
1822,"MD,BHMS",15,91,Delhi,Unknown,400
1823,"MBBS,DLO",13,0,Chennai,Unknown,200
1824,"MD,BDS,MDS",12,95,Bangalore,Unknown,200
1825,BHMS,11,0,Chennai,Unknown,150
1826,MD,12,0,Mumbai,Unknown,100
1827,BDS,6,0,Coimbatore,Unknown,200
1828,BDS,10,98,Hyderabad,Unknown,100
1829,BDS,34,91,Bangalore,Unknown,400
1830,"MD,MBBS",15,82,Bangalore,Unknown,380
1831,BDS,20,92,Delhi,Dentist,200
1832,"MD,MBBS",16,0,Chennai,Unknown,100
1833,BHMS,16,0,Bangalore,Unknown,500
1834,BHMS,27,0,Hyderabad,Unknown,500
1835,MBBS,18,0,Hyderabad,Unknown,400
1836,MBBS,24,0,Ernakulam,Unknown,250
1837,"MBBS,DNB",26,0,Delhi,Unknown,100
1838,MBBS,44,94,Delhi,Unknown,100
1839,BHMS,13,100,Delhi,Unknown,50
1840,"MD,BDS,MDS",7,0,Bangalore,Unknown,600
1841,MBBS,36,0,Mumbai,Unknown,100
1842,"MBBS,DDV,DNB",22,0,Mumbai,Unknown,100
1843,"MBBS,DDV",17,89,Bangalore,Unknown,400
1844,MBBS,43,0,Delhi,Unknown,400
1845,"MD,MBBS",11,0,Chennai,Unknown,300
1846,"MD,MBBS",38,80,Delhi,Unknown,700
1847,"MD,BDS,MDS",30,95,Thiruvananthapuram,Unknown,150
1848,"MD,MBBS",11,0,Chennai,Unknown,300
1849,MBBS,12,0,Hyderabad,Unknown,300
1850,"MBBS,DDV",9,0,Mumbai,Unknown,500
1851,"MD,MBBS",26,73,Chennai,Unknown,350
1852,BDS,16,0,Bangalore,Unknown,200
1853,MBBS,2,0,Chennai,Unknown,500
1854,"MD,BDS,MDS",4,100,Bangalore,Unknown,500
